iteracion,perdida
1,0.181248
2,0.174124
3,0.165555
4,0.160214
5,0.154068
6,0.148756
7,0.142591
8,0.136677
9,0.132878
10,0.131092
11,0.128257
12,0.126823
13,0.125644
14,0.124115
15,0.123522
16,0.122569
17,0.120027
18,0.119617
19,0.118721
20,0.117217
21,0.116579
22,0.115993
23,0.116237
24,0.116075
25,0.115428
26,0.114885
27,0.114226
28,0.113507
29,0.113133
30,0.113450
31,0.113319
32,0.113304
33,0.113074
34,0.112708
35,0.112582
36,0.111893
37,0.111922
38,0.112231
39,0.111984
40,0.111976
41,0.111936
42,0.112008
43,0.112331
44,0.112636
45,0.112565
46,0.112973
47,0.113166
48,0.113332
49,0.113651
50,0.114068
51,0.114441
52,0.114698
53,0.115101
54,0.115417
55,0.115800
56,0.116010
57,0.116299
58,0.116487
59,0.116492
60,0.116905
61,0.117326
62,0.117396
63,0.117890
64,0.118355
65,0.118724
66,0.118815
67,0.119190
68,0.119625
69,0.119883
70,0.120187
71,0.120595
72,0.120902
73,0.121285
74,0.121509
75,0.121731
76,0.121963
77,0.122201
78,0.122612
79,0.122891
80,0.123197
81,0.123600
82,0.124101
83,0.124569
84,0.124869
85,0.125357
86,0.125516
87,0.125980
88,0.126413
89,0.126880
90,0.127293
91,0.127681
92,0.128069
93,0.128475
94,0.128576
95,0.128977
96,0.129382
97,0.129820
98,0.130028
99,0.130391
100,0.130812
101,0.131276
102,0.131670
103,0.132010
104,0.132428
105,0.132862
106,0.133287
107,0.133712
108,0.134136
109,0.134604
110,0.134961
111,0.135290
112,0.135767
113,0.136215
114,0.136707
115,0.137134
116,0.137537
117,0.137906
118,0.138305
119,0.138737
120,0.139163
121,0.139582
122,0.140028
123,0.140459
124,0.140821
125,0.141319
126,0.141794
127,0.142299
128,0.142748
129,0.143252
130,0.143677
131,0.144158
132,0.144582
133,0.145074
134,0.145527
135,0.145838
136,0.146299
137,0.146740
138,0.147231
139,0.147717
140,0.148173
141,0.148466
142,0.148981
143,0.149460
144,0.149941
145,0.150457
146,0.150911
147,0.151405
148,0.151898
149,0.152367
150,0.152681
151,0.153153
152,0.153648
153,0.154137
154,0.154635
155,0.155135
156,0.155558
157,0.156025
158,0.156468
159,0.156637
160,0.157071
161,0.157289
162,0.157769
163,0.158264
164,0.158665
165,0.159035
166,0.159427
167,0.159915
168,0.160358
169,0.160758
170,0.161127
171,0.161446
172,0.161877
173,0.162346
174,0.162822
175,0.163297
176,0.163760
177,0.164261
178,0.164703
179,0.165011
180,0.165483
181,0.165957
182,0.166405
183,0.166820
184,0.167288
185,0.167597
186,0.168035
187,0.168537
188,0.169032
189,0.169507
190,0.170019
191,0.170500
192,0.170932
193,0.171457
194,0.171962
195,0.172352
196,0.172806
197,0.173320
198,0.173803
199,0.174261
200,0.174744
201,0.175261
202,0.175750
203,0.176063
204,0.176520
205,0.176923
206,0.177377
207,0.177845
208,0.178376
209,0.178822
210,0.179250
211,0.179701
212,0.180198
213,0.180696
214,0.181163
215,0.181679
216,0.182133
217,0.182603
218,0.183094
219,0.183494
220,0.183981
221,0.184355
222,0.184830
223,0.185253
224,0.185740
225,0.186241
226,0.186717
227,0.187195
228,0.187711
229,0.188192
230,0.188719
231,0.189206
232,0.189691
233,0.190067
234,0.190550
235,0.191044
236,0.191509
237,0.191991
238,0.192489
239,0.192999
240,0.193481
241,0.193940
242,0.194428
243,0.194786
244,0.195285
245,0.195772
246,0.196159
247,0.196742
248,0.197045
249,0.197506
250,0.197938
251,0.198414
252,0.198903
253,0.199335
254,0.199764
255,0.200281
256,0.200725
257,0.201215
258,0.201653
259,0.202070
260,0.202570
261,0.203074
262,0.203603
263,0.204096
264,0.204591
265,0.205079
266,0.205569
267,0.206078
268,0.206483
269,0.206894
270,0.207383
271,0.207873
272,0.208375
273,0.208878
274,0.209340
275,0.209814
276,0.210265
277,0.210741
278,0.211255
279,0.211705
280,0.212170
281,0.212668
282,0.213107
283,0.213607
284,0.214086
285,0.214592
286,0.214963
287,0.215483
288,0.215994
289,0.216463
290,0.216956
291,0.217349
292,0.217836
293,0.218314
294,0.218806
295,0.219280
296,0.219781
297,0.220277
298,0.220745
299,0.221224
300,0.221714
